,true_LocalKey35,pred_LocalKey35,true_PrimaryDegree22,pred_PrimaryDegree22,true_SecondaryDegree22,pred_SecondaryDegree22,true_Inversion4,pred_Inversion4,true_ChordQuality15,pred_ChordQuality15,true_ChordRoot35,pred_ChordRoot35,true_Bass35,pred_Bass35,true_RomanNumeral76,pred_RomanNumeral76,true_TonicizedKey35,pred_TonicizedKey35,true_PitchClassSet94,pred_PitchClassSet94,true_HarmonicRhythm2,pred_HarmonicRhythm2,LocalKey35,PrimaryDegree22,SecondaryDegree22,Inversion4,ChordQuality15,ChordRoot35,Bass35,RomanNumeral76,TonicizedKey35,PitchClassSet94,HarmonicRhythm2,Degree,RomanNumeral,AltRomanNumeral
0,c,c,1,1,None,None,0,0,minor triad,major triad,C,C,C,C,i,I,c,c,"(0, 3, 7)","(0, 3, 7)",True,False,True,True,True,True,False,True,True,False,True,True,False,True,False,False
1,c,c,1,1,None,None,0,0,minor triad,major triad,C,C,C,C,i,I,c,c,"(0, 3, 7)","(0, 3, 7)",False,False,True,True,True,True,False,True,True,False,True,True,True,True,False,False
2,c,c,1,1,None,None,0,0,minor triad,minor triad,C,C,C,C,i,I,c,c,"(0, 3, 7)","(0, 3, 7)",False,False,True,True,True,True,True,True,True,False,True,True,True,True,True,False
3,c,c,1,1,None,None,0,0,minor triad,minor triad,C,C,C,C,i,I,c,c,"(0, 3, 7)","(0, 3, 7)",False,False,True,True,True,True,True,True,True,False,True,True,True,True,True,False
4,c,c,1,1,None,None,0,0,minor triad,minor triad,C,C,C,C,i,I,c,c,"(0, 3, 7)","(0, 3, 7)",False,False,True,True,True,True,True,True,True,False,True,True,True,True,True,False
5,c,c,1,1,None,None,0,0,minor triad,minor triad,C,C,C,C,i,I,c,c,"(0, 3, 7)","(0, 3, 7)",False,False,True,True,True,True,True,True,True,False,True,True,True,True,True,False
6,c,c,1,1,None,None,0,0,minor triad,minor triad,C,C,C,C,i,I,c,c,"(0, 3, 7)","(0, 3, 7)",False,False,True,True,True,True,True,True,True,False,True,True,True,True,True,False
7,c,c,1,1,None,None,0,0,minor triad,minor triad,C,C,C,C,i,I,c,c,"(0, 3, 7)","(0, 3, 7)",False,False,True,True,True,True,True,True,True,False,True,True,True,True,True,False
8,c,c,1,1,None,None,0,0,minor triad,major triad,C,C,C,C,i,I,c,c,"(0, 3, 7)","(0, 3, 7)",False,False,True,True,True,True,False,True,True,False,True,True,True,True,False,False
9,c,c,1,1,None,None,0,0,minor triad,major triad,C,C,C,C,i,I,c,c,"(0, 3, 7)","(0, 3, 7)",False,False,True,True,True,True,False,True,True,False,True,True,True,True,False,False
10,c,c,1,1,None,None,0,0,minor triad,major triad,C,C,C,C,i,I,c,c,"(0, 3, 7)","(0, 3, 7)",False,False,True,True,True,True,False,True,True,False,True,True,True,True,False,False
11,c,c,1,1,None,None,0,0,minor triad,major triad,C,C,C,C,i,I,c,c,"(0, 3, 7)","(0, 3, 7)",False,False,True,True,True,True,False,True,True,False,True,True,True,True,False,False
12,c,c,1,1,None,None,0,0,minor triad,major triad,C,C,C,C,i,I,c,c,"(0, 3, 7)","(0, 3, 7)",False,False,True,True,True,True,False,True,True,False,True,True,True,True,False,False
13,c,c,1,1,None,None,0,0,minor triad,major triad,C,C,C,C,i,I,c,c,"(0, 3, 7)","(0, 3, 7)",False,False,True,True,True,True,False,True,True,False,True,True,True,True,False,False
14,c,c,1,1,None,None,0,0,minor triad,major triad,C,C,C,C,i,I,c,c,"(0, 3, 7)","(0, 3, 7)",False,False,True,True,True,True,False,True,True,False,True,True,True,True,False,False
15,c,c,1,1,None,None,0,0,minor triad,major triad,C,C,C,C,i,I,c,c,"(0, 3, 7)","(0, 3, 7)",False,False,True,True,True,True,False,True,True,False,True,True,True,True,False,False
16,c,c,5,1,None,None,1,0,major triad,major triad,G,C,B,C,V,I,c,c,"(2, 7, 11)","(0, 3, 7)",True,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False
17,c,c,5,1,None,None,1,0,major triad,major triad,G,C,B,G,V,V,c,c,"(2, 7, 11)","(0, 3, 7)",False,False,True,False,True,False,True,False,False,True,True,False,True,False,False,False
18,c,c,5,1,None,None,1,0,major triad,major triad,G,C,B,G,V,V,c,c,"(2, 7, 11)","(0, 3, 7)",False,False,True,False,True,False,True,False,False,True,True,False,True,False,False,False
19,c,c,5,1,None,None,1,0,major triad,major triad,G,C,B,G,V,V,c,c,"(2, 7, 11)","(0, 3, 7)",False,False,True,False,True,False,True,False,False,True,True,False,True,False,False,False
20,c,c,5,1,None,None,1,0,major triad,major triad,G,C,B,G,V,I,c,c,"(2, 7, 11)","(0, 3, 7)",False,False,True,False,True,False,True,False,False,False,True,False,True,False,False,False
21,c,c,5,1,None,None,1,0,major triad,major triad,G,C,B,G,V,I,c,c,"(2, 7, 11)","(0, 3, 7)",False,False,True,False,True,False,True,False,False,False,True,False,True,False,False,False
22,c,c,5,1,None,None,1,0,major triad,major triad,G,C,B,G,V,I,c,c,"(2, 7, 11)","(0, 3, 7)",False,False,True,False,True,False,True,False,False,False,True,False,True,False,False,False
23,c,c,5,1,None,None,1,0,major triad,major triad,G,C,B,G,V,I,c,c,"(2, 7, 11)","(0, 3, 7)",False,False,True,False,True,False,True,False,False,False,True,False,True,False,False,False
