,true_LocalKey35,pred_LocalKey35,true_PrimaryDegree22,pred_PrimaryDegree22,true_SecondaryDegree22,pred_SecondaryDegree22,true_Inversion4,pred_Inversion4,true_ChordQuality15,pred_ChordQuality15,true_ChordRoot35,pred_ChordRoot35,true_Bass35,pred_Bass35,true_RomanNumeral76,pred_RomanNumeral76,true_TonicizedKey35,pred_TonicizedKey35,true_PitchClassSet94,pred_PitchClassSet94,true_HarmonicRhythm2,pred_HarmonicRhythm2,LocalKey35,PrimaryDegree22,SecondaryDegree22,Inversion4,ChordQuality15,ChordRoot35,Bass35,RomanNumeral76,TonicizedKey35,PitchClassSet94,HarmonicRhythm2,Degree,RomanNumeral
0,c,c,1,1,None,None,0,0,minor triad,minor triad,C,C,C,C,i,i,c,c,"(0, 3, 7)","(0, 3, 7)",True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1,c,c,1,1,None,None,0,0,minor triad,minor triad,C,C,C,C,i,i,c,c,"(0, 3, 7)","(0, 3, 7)",False,False,True,True,True,True,True,True,True,True,True,True,True,True,True
2,c,c,1,1,None,None,0,0,minor triad,minor triad,C,C,C,C,i,i,c,c,"(0, 3, 7)","(0, 3, 7)",False,False,True,True,True,True,True,True,True,True,True,True,True,True,True
3,c,c,1,1,None,None,0,0,minor triad,minor triad,C,C,C,C,i,i,c,c,"(0, 3, 7)","(0, 3, 7)",False,False,True,True,True,True,True,True,True,True,True,True,True,True,True
4,c,c,1,1,None,None,0,0,minor triad,minor triad,C,C,C,C,i,i,c,c,"(0, 3, 7)","(0, 3, 7)",False,False,True,True,True,True,True,True,True,True,True,True,True,True,True
5,c,c,1,1,None,None,0,0,minor triad,minor triad,C,C,C,C,i,i,c,c,"(0, 3, 7)","(0, 3, 7)",False,False,True,True,True,True,True,True,True,True,True,True,True,True,True
6,c,c,1,1,None,None,0,0,minor triad,minor triad,C,C,C,C,i,i,c,c,"(0, 3, 7)","(0, 3, 7)",False,False,True,True,True,True,True,True,True,True,True,True,True,True,True
7,c,c,1,1,None,None,0,0,minor triad,minor triad,C,C,C,C,i,i,c,c,"(0, 3, 7)","(0, 3, 7)",False,False,True,True,True,True,True,True,True,True,True,True,True,True,True
8,c,c,1,1,None,None,0,0,minor triad,minor triad,C,C,C,C,i,i,c,c,"(0, 3, 7)","(0, 3, 7)",False,False,True,True,True,True,True,True,True,True,True,True,True,True,True
9,c,c,1,1,None,None,0,0,minor triad,minor triad,C,C,C,C,i,i,c,c,"(0, 3, 7)","(0, 3, 7)",False,False,True,True,True,True,True,True,True,True,True,True,True,True,True
10,c,c,1,1,None,None,0,0,minor triad,minor triad,C,C,C,C,i,i,c,c,"(0, 3, 7)","(0, 3, 7)",False,False,True,True,True,True,True,True,True,True,True,True,True,True,True
11,c,c,1,1,None,None,0,0,minor triad,minor triad,C,C,C,C,i,i,c,c,"(0, 3, 7)","(0, 3, 7)",False,False,True,True,True,True,True,True,True,True,True,True,True,True,True
12,c,c,1,1,None,None,0,0,minor triad,minor triad,C,C,C,C,i,i,c,c,"(0, 3, 7)","(0, 3, 7)",False,False,True,True,True,True,True,True,True,True,True,True,True,True,True
13,c,c,1,1,None,None,0,0,minor triad,minor triad,C,C,C,C,i,i,c,c,"(0, 3, 7)","(0, 3, 7)",False,False,True,True,True,True,True,True,True,True,True,True,True,True,True
14,c,c,1,1,None,None,0,0,minor triad,minor triad,C,C,C,C,i,i,c,c,"(0, 3, 7)","(0, 3, 7)",False,False,True,True,True,True,True,True,True,True,True,True,True,True,True
15,c,c,1,1,None,None,0,0,minor triad,minor triad,C,C,C,C,i,i,c,c,"(0, 3, 7)","(0, 3, 7)",False,False,True,True,True,True,True,True,True,True,True,True,True,True,True
16,c,c,5,1,None,None,1,0,major triad,minor triad,G,C,B,C,V,i,c,c,"(2, 7, 11)","(0, 3, 7)",True,True,True,False,True,False,False,False,False,False,True,False,True,False,False
17,c,c,5,1,None,None,1,0,major triad,minor triad,G,C,B,C,V,i,c,c,"(2, 7, 11)","(0, 3, 7)",False,False,True,False,True,False,False,False,False,False,True,False,True,False,False
18,c,c,5,5,None,None,1,0,major triad,minor triad,G,C,B,C,V,i,c,c,"(2, 7, 11)","(0, 3, 7)",False,False,True,True,True,False,False,False,False,False,True,False,True,True,False
19,c,c,5,5,None,None,1,0,major triad,minor triad,G,C,B,C,V,i,c,c,"(2, 7, 11)","(0, 3, 7)",False,False,True,True,True,False,False,False,False,False,True,False,True,True,False
20,c,c,5,5,None,None,1,0,major triad,minor triad,G,C,B,C,V,i,c,c,"(2, 7, 11)","(0, 3, 7)",False,False,True,True,True,False,False,False,False,False,True,False,True,True,False
21,c,c,5,5,None,None,1,0,major triad,minor triad,G,C,B,C,V,i,c,c,"(2, 7, 11)","(0, 3, 7)",False,False,True,True,True,False,False,False,False,False,True,False,True,True,False
22,c,c,5,5,None,None,1,0,major triad,minor triad,G,C,B,C,V,V,c,c,"(2, 7, 11)","(0, 3, 7)",False,False,True,True,True,False,False,False,False,True,True,False,True,True,False
23,c,c,5,5,None,None,1,0,major triad,minor triad,G,C,B,C,V,V,c,c,"(2, 7, 11)","(0, 3, 7)",False,False,True,True,True,False,False,False,False,True,True,False,True,True,False
24,c,c,5,5,None,None,1,0,major triad,minor triad,G,C,B,C,V,V,c,c,"(2, 7, 11)","(0, 3, 7)",False,False,True,True,True,False,False,False,False,True,True,False,True,True,False
25,c,c,5,5,None,None,1,0,major triad,minor triad,G,C,B,C,V,V,c,c,"(2, 7, 11)","(0, 3, 7)",False,False,True,True,True,False,False,False,False,True,True,False,True,True,False
26,c,c,5,5,None,None,1,0,major triad,minor triad,G,C,B,C,V,V,c,c,"(2, 7, 11)","(0, 3, 7)",False,False,True,True,True,False,False,False,False,True,True,False,True,True,False
27,c,c,5,5,None,None,1,0,major triad,minor triad,G,C,B,C,V,V,c,c,"(2, 7, 11)","(0, 3, 7)",False,False,True,True,True,False,False,False,False,True,True,False,True,True,False
28,c,c,5,5,None,None,1,0,major triad,minor triad,G,C,B,C,V,V,c,c,"(2, 7, 11)","(0, 3, 7)",False,False,True,True,True,False,False,False,False,True,True,False,True,True,False
29,c,c,5,5,None,None,1,0,major triad,minor triad,G,C,B,C,V,V,c,c,"(2, 7, 11)","(0, 3, 7)",False,False,True,True,True,False,False,False,False,True,True,False,True,True,False
30,c,c,5,5,None,None,1,0,major triad,minor triad,G,C,B,C,V,V,c,c,"(2, 7, 11)","(0, 3, 7)",False,False,True,True,True,False,False,False,False,True,True,False,True,True,False
31,c,c,5,5,None,None,1,0,major triad,minor triad,G,C,B,C,V,V,c,c,"(2, 7, 11)","(0, 3, 7)",False,False,True,True,True,False,False,False,False,True,True,False,True,True,False
32,c,c,1,1,None,None,0,0,minor triad,dominant seventh chord,C,C,C,C,i,V7,c,f,"(0, 3, 7)","(0, 3, 8)",True,True,True,True,True,True,False,True,True,False,False,False,True,True,False
33,c,c,1,1,None,None,0,0,minor triad,dominant seventh chord,C,C,C,C,i,V7,c,f,"(0, 3, 7)","(0, 4, 7, 10)",False,False,True,True,True,True,False,True,True,False,False,False,True,True,False
34,c,c,1,1,None,None,0,0,minor triad,dominant seventh chord,C,C,C,C,i,V7,c,f,"(0, 3, 7)","(0, 4, 7, 10)",False,False,True,True,True,True,False,True,True,False,False,False,True,True,False
35,c,c,1,1,None,None,0,0,minor triad,dominant seventh chord,C,C,C,C,i,V7,c,f,"(0, 3, 7)","(0, 4, 7, 10)",False,False,True,True,True,True,False,True,True,False,False,False,True,True,False
36,c,c,1,1,None,None,0,0,minor triad,dominant seventh chord,C,C,C,C,i,V7,c,f,"(0, 3, 7)","(0, 4, 7, 10)",False,False,True,True,True,True,False,True,True,False,False,False,True,True,False
37,c,c,1,5,None,None,0,0,minor triad,dominant seventh chord,C,C,C,C,i,V7,c,f,"(0, 3, 7)","(0, 4, 7, 10)",False,False,True,False,True,True,False,True,True,False,False,False,True,False,False
38,c,c,1,5,None,None,0,0,minor triad,dominant seventh chord,C,C,C,C,i,V7,c,f,"(0, 3, 7)","(0, 4, 7, 10)",False,False,True,False,True,True,False,True,True,False,False,False,True,False,False
39,c,c,1,5,None,None,0,0,minor triad,dominant seventh chord,C,C,C,C,i,V7,c,f,"(0, 3, 7)","(0, 4, 7, 10)",False,False,True,False,True,True,False,True,True,False,False,False,True,False,False
40,c,c,4,5,None,None,1,0,minor triad,dominant seventh chord,F,C,A-,C,iv,V7,c,f,"(0, 5, 8)","(0, 3, 7, 8)",True,False,True,False,True,False,False,False,False,False,False,False,False,False,False
41,c,c,4,5,None,None,1,0,minor triad,dominant seventh chord,F,C,A-,C,iv,V7,c,f,"(0, 5, 8)","(0, 3, 7, 8)",False,False,True,False,True,False,False,False,False,False,False,False,True,False,False
42,c,c,4,5,None,None,1,0,minor triad,dominant seventh chord,F,C,A-,C,iv,V7,c,f,"(0, 5, 8)","(0, 3, 7, 8)",False,False,True,False,True,False,False,False,False,False,False,False,True,False,False
43,c,c,4,5,None,None,1,0,minor triad,dominant seventh chord,F,C,A-,C,iv,V7,c,f,"(0, 5, 8)","(0, 3, 7, 8)",False,False,True,False,True,False,False,False,False,False,False,False,True,False,False
44,c,c,4,5,None,None,1,0,minor triad,dominant seventh chord,F,C,A-,C,iv,V7,c,f,"(0, 5, 8)","(0, 4, 7, 10)",False,False,True,False,True,False,False,False,False,False,False,False,True,False,False
45,c,c,4,5,None,None,1,0,minor triad,dominant seventh chord,F,C,A-,C,iv,V7,c,f,"(0, 5, 8)","(0, 3, 7, 8)",False,False,True,False,True,False,False,False,False,False,False,False,True,False,False
46,c,c,4,5,None,None,1,0,minor triad,dominant seventh chord,F,C,A-,C,iv,V7,c,f,"(0, 5, 8)","(0, 4, 7, 10)",False,False,True,False,True,False,False,False,False,False,False,False,True,False,False
47,c,c,4,5,None,None,1,0,minor triad,dominant seventh chord,F,C,A-,C,iv,V7,c,f,"(0, 5, 8)","(0, 4, 7, 10)",False,False,True,False,True,False,False,False,False,False,False,False,True,False,False
48,c,c,7,5,None,None,0,0,major triad,dominant seventh chord,B-,C,B-,C,VII,V7,c,f,"(2, 5, 10)","(0, 4, 7, 10)",True,False,True,False,True,True,False,False,False,False,False,False,False,False,False
49,c,c,7,5,None,None,0,0,major triad,dominant seventh chord,B-,C,B-,C,VII,V7,c,f,"(2, 5, 10)","(0, 4, 7, 10)",False,False,True,False,True,True,False,False,False,False,False,False,True,False,False
50,c,c,7,5,None,None,0,0,major triad,dominant seventh chord,B-,C,B-,C,VII,V7,c,f,"(2, 5, 10)","(0, 4, 7, 10)",False,False,True,False,True,True,False,False,False,False,False,False,True,False,False
51,c,c,7,5,None,None,0,0,major triad,dominant seventh chord,B-,C,B-,C,VII,V7,c,f,"(2, 5, 10)","(0, 4, 7, 10)",False,False,True,False,True,True,False,False,False,False,False,False,True,False,False
52,c,c,7,5,None,None,0,0,major triad,dominant seventh chord,B-,C,B-,C,VII,V7,c,f,"(2, 5, 10)","(0, 4, 7, 10)",False,False,True,False,True,True,False,False,False,False,False,False,True,False,False
53,c,c,7,5,None,None,0,0,major triad,dominant seventh chord,B-,C,B-,C,VII,V7,c,f,"(2, 5, 10)","(0, 4, 7, 10)",False,False,True,False,True,True,False,False,False,False,False,False,True,False,False
54,c,c,7,5,None,None,0,0,major triad,dominant seventh chord,B-,C,B-,C,VII,V7,c,f,"(2, 5, 10)","(0, 4, 7, 10)",False,False,True,False,True,True,False,False,False,False,False,False,True,False,False
55,c,c,7,5,None,None,0,0,major triad,dominant seventh chord,B-,C,B-,C,VII,V7,c,f,"(2, 5, 10)","(0, 4, 7, 10)",False,False,True,False,True,True,False,False,False,False,False,False,True,False,False
56,c,c,7,5,None,None,0,0,major triad,dominant seventh chord,B-,C,B-,C,VII,V7,c,f,"(2, 5, 10)","(0, 4, 7, 10)",False,False,True,False,True,True,False,False,False,False,False,False,True,False,False
57,c,c,7,5,None,None,0,0,major triad,dominant seventh chord,B-,C,B-,C,VII,V7,c,f,"(2, 5, 10)","(0, 4, 7, 10)",False,False,True,False,True,True,False,False,False,False,False,False,True,False,False
58,c,c,7,5,None,None,0,0,major triad,dominant seventh chord,B-,C,B-,C,VII,V7,c,f,"(2, 5, 10)","(0, 4, 7, 10)",False,False,True,False,True,True,False,False,False,False,False,False,True,False,False
59,c,c,7,5,None,None,0,0,major triad,dominant seventh chord,B-,C,B-,C,VII,V7,c,f,"(2, 5, 10)","(0, 4, 7, 10)",False,False,True,False,True,True,False,False,False,False,False,False,True,False,False
60,c,c,7,5,None,None,0,0,major triad,dominant seventh chord,B-,C,B-,C,VII,V7,c,f,"(2, 5, 10)","(0, 4, 7, 10)",False,False,True,False,True,True,False,False,False,False,False,False,True,False,False
61,c,c,7,5,None,None,0,0,major triad,dominant seventh chord,B-,C,B-,C,VII,V7,c,f,"(2, 5, 10)","(0, 4, 7, 10)",False,False,True,False,True,True,False,False,False,False,False,False,True,False,False
62,c,c,7,5,None,None,0,0,major triad,dominant seventh chord,B-,C,B-,C,VII,V7,c,f,"(2, 5, 10)","(0, 4, 7, 10)",False,False,True,False,True,True,False,False,False,False,False,False,True,False,False
63,c,c,7,5,None,None,0,0,major triad,dominant seventh chord,B-,C,B-,C,VII,V7,c,f,"(2, 5, 10)","(0, 4, 7, 10)",False,False,True,False,True,True,False,False,False,False,False,False,True,False,False
64,c,c,3,5,None,None,1,0,major triad,dominant seventh chord,E-,C,G,C,III,V7,c,f,"(3, 7, 10)","(0, 4, 7, 10)",True,False,True,False,True,False,False,False,False,False,False,False,False,False,False
65,c,c,3,5,None,None,1,0,major triad,dominant seventh chord,E-,C,G,C,III,V7,c,f,"(3, 7, 10)","(0, 4, 7, 10)",False,False,True,False,True,False,False,False,False,False,False,False,True,False,False
66,c,c,3,5,None,None,1,0,major triad,dominant seventh chord,E-,C,G,C,III,V7,c,f,"(3, 7, 10)","(0, 4, 7, 10)",False,False,True,False,True,False,False,False,False,False,False,False,True,False,False
67,c,c,3,5,None,None,1,0,major triad,dominant seventh chord,E-,C,G,C,III,V7,c,f,"(3, 7, 10)","(0, 4, 7, 10)",False,False,True,False,True,False,False,False,False,False,False,False,True,False,False
68,c,c,3,5,None,None,1,0,major triad,dominant seventh chord,E-,C,G,C,III,V7,c,f,"(3, 7, 10)","(0, 4, 7, 10)",False,False,True,False,True,False,False,False,False,False,False,False,True,False,False
69,c,c,3,5,None,None,1,0,major triad,dominant seventh chord,E-,C,G,C,III,V7,c,f,"(3, 7, 10)","(0, 3, 7, 8)",False,False,True,False,True,False,False,False,False,False,False,False,True,False,False
70,c,c,3,5,None,None,1,0,major triad,dominant seventh chord,E-,A-,G,C,III,V7,c,f,"(3, 7, 10)","(0, 3, 7, 8)",False,False,True,False,True,False,False,False,False,False,False,False,True,False,False
71,c,c,3,5,None,None,1,0,major triad,dominant seventh chord,E-,A-,G,C,III,V7,c,f,"(3, 7, 10)","(0, 3, 7, 8)",False,False,True,False,True,False,False,False,False,False,False,False,True,False,False
72,c,c,6,1,None,None,0,0,major triad,dominant seventh chord,A-,A-,A-,A-,VI,V7,c,f,"(0, 3, 8)","(0, 5, 8)",True,False,True,False,True,True,False,True,True,False,False,False,False,False,False
73,c,c,6,1,None,None,0,0,major triad,major triad,A-,A-,A-,A-,VI,V7,c,f,"(0, 3, 8)","(0, 5, 8)",False,False,True,False,True,True,True,True,True,False,False,False,True,False,False
74,c,c,6,1,None,None,0,0,major triad,major triad,A-,A-,A-,A-,VI,I,c,f,"(0, 3, 8)","(0, 5, 8)",False,False,True,False,True,True,True,True,True,False,False,False,True,False,False
75,c,c,6,1,None,None,0,0,major triad,major triad,A-,A-,A-,A-,VI,I,c,f,"(0, 3, 8)","(0, 5, 8)",False,False,True,False,True,True,True,True,True,False,False,False,True,False,False
76,c,c,6,1,None,None,0,0,major triad,major triad,A-,A-,A-,A-,VI,iv,c,f,"(0, 3, 8)","(0, 5, 8)",False,False,True,False,True,True,True,True,True,False,False,False,True,False,False
77,c,c,6,1,None,None,0,0,major triad,major triad,A-,A-,A-,A-,VI,iv,c,f,"(0, 3, 8)","(0, 5, 8)",False,False,True,False,True,True,True,True,True,False,False,False,True,False,False
78,c,c,6,1,None,None,0,0,major triad,major triad,A-,A-,A-,A-,VI,iv,c,f,"(0, 3, 8)","(0, 5, 8)",False,False,True,False,True,True,True,True,True,False,False,False,True,False,False
79,c,c,6,1,None,None,0,0,major triad,major triad,A-,A-,A-,A-,VI,iv,c,c,"(0, 3, 8)","(0, 5, 8)",False,False,True,False,True,True,True,True,True,False,True,False,True,False,False
80,c,c,2,1,None,None,1,0,minor triad,major triad,D,A-,F,A-,ii,I,c,c,"(2, 5, 9)","(0, 5, 8)",True,False,True,False,True,False,False,False,False,False,True,False,False,False,False
81,c,c,2,1,None,None,1,0,minor triad,major triad,D,A-,F,A-,ii,I,c,c,"(2, 5, 9)","(0, 5, 8)",False,False,True,False,True,False,False,False,False,False,True,False,True,False,False
82,c,c,2,1,None,None,1,0,minor triad,major triad,D,A-,F,A-,ii,I,c,c,"(2, 5, 9)","(0, 5, 8)",False,False,True,False,True,False,False,False,False,False,True,False,True,False,False
83,c,c,2,1,None,None,1,0,minor triad,major triad,D,A-,F,A-,ii,I,c,c,"(2, 5, 9)","(0, 5, 8)",False,False,True,False,True,False,False,False,False,False,True,False,True,False,False
84,c,c,2,1,None,None,1,0,minor triad,major triad,D,A-,F,A-,ii,I,c,c,"(2, 5, 9)","(0, 5, 8)",False,False,True,False,True,False,False,False,False,False,True,False,True,False,False
85,c,c,2,1,None,None,1,0,minor triad,major triad,D,A-,F,A-,ii,I,c,c,"(2, 5, 9)","(0, 5, 8)",False,False,True,False,True,False,False,False,False,False,True,False,True,False,False
86,c,c,2,1,None,None,1,0,minor triad,major triad,D,A-,F,A-,ii,I,c,c,"(2, 5, 9)","(0, 5, 8)",False,False,True,False,True,False,False,False,False,False,True,False,True,False,False
87,c,c,2,1,None,None,1,0,minor triad,major triad,D,A-,F,A-,ii,I,c,c,"(2, 5, 9)","(0, 5, 8)",False,False,True,False,True,False,False,False,False,False,True,False,True,False,False
88,c,c,5,1,None,None,0,0,dominant seventh chord,major triad,G,E-,G,A-,V7,i,c,f,"(2, 5, 7, 11)","(0, 5, 8)",True,False,True,False,True,True,False,False,False,False,False,False,False,False,False
89,c,c,5,1,None,None,0,0,dominant seventh chord,major triad,G,E-,G,A-,V7,i,c,f,"(2, 5, 7, 11)","(0, 5, 8)",False,False,True,False,True,True,False,False,False,False,False,False,True,False,False
90,c,c,5,1,None,None,0,0,dominant seventh chord,major triad,G,E-,G,A-,V7,i,c,f,"(2, 5, 7, 11)","(0, 5, 8)",False,False,True,False,True,True,False,False,False,False,False,False,True,False,False
91,c,c,5,1,None,None,0,0,dominant seventh chord,minor triad,G,E-,G,A-,V7,i,c,f,"(2, 5, 7, 11)","(0, 5, 8)",False,False,True,False,True,True,False,False,False,False,False,False,True,False,False
92,c,c,5,1,None,None,0,0,dominant seventh chord,minor triad,G,E-,G,A-,V7,i,c,f,"(2, 5, 7, 11)","(0, 5, 8)",False,False,True,False,True,True,False,False,False,False,False,False,True,False,False
93,c,c,5,1,None,None,0,0,dominant seventh chord,minor triad,G,E-,G,A-,V7,i,c,f,"(2, 5, 7, 11)","(0, 5, 8)",False,False,True,False,True,True,False,False,False,False,False,False,True,False,False
94,c,c,5,1,None,None,0,0,dominant seventh chord,minor triad,G,E-,G,A-,V7,i,c,f,"(2, 5, 7, 11)","(0, 5, 8)",False,False,True,False,True,True,False,False,False,False,False,False,True,False,False
