,true_LocalKey35,pred_LocalKey35,true_PrimaryDegree22,pred_PrimaryDegree22,true_SecondaryDegree22,pred_SecondaryDegree22,true_Inversion4,pred_Inversion4,true_ChordQuality15,pred_ChordQuality15,true_ChordRoot35,pred_ChordRoot35,true_Bass35,pred_Bass35,true_RomanNumeral76,pred_RomanNumeral76,true_TonicizedKey35,pred_TonicizedKey35,true_PitchClassSet94,pred_PitchClassSet94,true_HarmonicRhythm2,pred_HarmonicRhythm2,LocalKey35,PrimaryDegree22,SecondaryDegree22,Inversion4,ChordQuality15,ChordRoot35,Bass35,RomanNumeral76,TonicizedKey35,PitchClassSet94,HarmonicRhythm2,Degree,RomanNumeral
0,C#,C#,1,1,None,None,0,0,major triad,major triad,C#,C#,C#,C#,I,I,C#,C#,"(1, 5, 8)","(1, 5, 8)",True,False,True,True,True,True,True,True,True,True,True,True,False,True,True
1,C#,C#,1,1,None,None,0,0,major triad,major triad,C#,C#,C#,C#,I,I,C#,C#,"(1, 5, 8)","(1, 5, 8)",False,False,True,True,True,True,True,True,True,True,True,True,True,True,True
2,C#,C#,1,1,None,None,0,0,major triad,major triad,C#,C#,C#,C#,I,I,C#,C#,"(1, 5, 8)","(1, 5, 8)",False,False,True,True,True,True,True,True,True,True,True,True,True,True,True
3,C#,C#,1,1,None,None,0,0,major triad,major triad,C#,C#,C#,C#,I,I,C#,C#,"(1, 5, 8)","(1, 5, 8)",False,False,True,True,True,True,True,True,True,True,True,True,True,True,True
4,C#,C#,1,1,None,None,0,0,major triad,major triad,C#,C#,C#,C#,I,I,C#,C#,"(1, 5, 8)","(1, 5, 8)",False,False,True,True,True,True,True,True,True,True,True,True,True,True,True
5,C#,C#,1,1,None,None,0,0,major triad,major triad,C#,C#,C#,C#,I,I,C#,C#,"(1, 5, 8)","(1, 5, 8)",False,False,True,True,True,True,True,True,True,True,True,True,True,True,True
6,C#,C#,1,1,None,None,0,0,major triad,major triad,C#,C#,C#,C#,I,I,C#,C#,"(1, 5, 8)","(1, 5, 8)",False,False,True,True,True,True,True,True,True,True,True,True,True,True,True
7,C#,C#,1,1,None,None,0,0,major triad,major triad,C#,C#,C#,C#,I,I,C#,C#,"(1, 5, 8)","(1, 5, 8)",False,False,True,True,True,True,True,True,True,True,True,True,True,True,True
8,C#,C#,1,1,None,None,0,0,major triad,major triad,C#,C#,C#,C#,I,I,C#,C#,"(1, 5, 8)","(1, 5, 8)",False,False,True,True,True,True,True,True,True,True,True,True,True,True,True
9,C#,C#,1,1,None,None,0,0,major triad,major triad,C#,C#,C#,C#,I,I,C#,C#,"(1, 5, 8)","(1, 5, 8)",False,False,True,True,True,True,True,True,True,True,True,True,True,True,True
10,C#,C#,1,1,None,None,0,0,major triad,major triad,C#,C#,C#,C#,I,I,C#,C#,"(1, 5, 8)","(1, 5, 8)",False,False,True,True,True,True,True,True,True,True,True,True,True,True,True
11,C#,C#,1,1,None,None,0,0,major triad,major triad,C#,C#,C#,C#,I,I,C#,C#,"(1, 5, 8)","(1, 5, 8)",False,False,True,True,True,True,True,True,True,True,True,True,True,True,True
12,C#,C#,2,2,None,None,0,0,minor seventh chord,dominant seventh chord,D#,D#,D#,D#,ii7,ii7,C#,C#,"(1, 3, 6, 10)","(1, 3, 6, 10)",True,True,True,True,True,True,False,True,True,True,True,True,True,True,False
13,C#,C#,2,2,None,None,0,0,minor seventh chord,minor seventh chord,D#,D#,D#,D#,ii7,ii7,C#,C#,"(1, 3, 6, 10)","(1, 3, 6, 10)",False,False,True,True,True,True,True,True,True,True,True,True,True,True,True
14,C#,C#,2,2,None,None,0,0,minor seventh chord,minor seventh chord,D#,D#,D#,D#,ii7,ii7,C#,C#,"(1, 3, 6, 10)","(1, 3, 6, 10)",False,False,True,True,True,True,True,True,True,True,True,True,True,True,True
15,C#,C#,2,2,None,None,0,0,minor seventh chord,minor seventh chord,D#,D#,D#,D#,ii7,ii7,C#,C#,"(1, 3, 6, 10)","(1, 3, 6, 10)",False,False,True,True,True,True,True,True,True,True,True,True,True,True,True
16,C#,C#,2,2,None,None,0,0,minor seventh chord,minor seventh chord,D#,D#,D#,D#,ii7,ii7,C#,C#,"(1, 3, 6, 10)","(1, 3, 6, 10)",False,False,True,True,True,True,True,True,True,True,True,True,True,True,True
17,C#,C#,2,2,None,None,0,0,minor seventh chord,minor seventh chord,D#,D#,D#,D#,ii7,ii7,C#,C#,"(1, 3, 6, 10)","(1, 3, 6, 10)",False,False,True,True,True,True,True,True,True,True,True,True,True,True,True
18,C#,C#,2,2,None,None,0,0,minor seventh chord,major triad,D#,C#,D#,D#,ii7,ii7,C#,C#,"(1, 3, 6, 10)",None,False,False,True,True,True,True,False,False,True,True,True,False,True,True,False
19,C#,C#,2,2,None,None,0,0,minor seventh chord,major triad,D#,C#,D#,D#,ii7,ii7,C#,C#,"(1, 3, 6, 10)",None,False,False,True,True,True,True,False,False,True,True,True,False,True,True,False
20,C#,C#,2,1,None,None,0,0,minor seventh chord,major triad,D#,C#,D#,D#,ii7,I,C#,C#,"(1, 3, 6, 10)","(1, 5, 8)",False,False,True,False,True,True,False,False,True,False,True,False,True,False,False
21,C#,C#,2,1,None,None,0,0,minor seventh chord,major triad,D#,C#,D#,D#,ii7,I,C#,C#,"(1, 3, 6, 10)","(1, 5, 8)",False,False,True,False,True,True,False,False,True,False,True,False,True,False,False
22,C#,C#,2,1,None,None,0,0,minor seventh chord,major triad,D#,C#,D#,C#,ii7,I,C#,C#,"(1, 3, 6, 10)","(1, 5, 8)",False,False,True,False,True,True,False,False,False,False,True,False,True,False,False
23,C#,C#,2,1,None,None,0,0,minor seventh chord,major triad,D#,C#,D#,C#,ii7,I,C#,C#,"(1, 3, 6, 10)","(1, 5, 8)",False,False,True,False,True,True,False,False,False,False,True,False,True,False,False
24,C#,C#,1,1,None,None,1,0,major triad,major triad,C#,C#,E#,C#,I,I,C#,C#,"(1, 5, 8)","(1, 5, 8)",True,False,True,True,True,False,True,True,False,True,True,True,False,True,False
25,C#,C#,1,1,None,None,1,1,major triad,major triad,C#,C#,E#,C#,I,I,C#,C#,"(1, 5, 8)","(1, 5, 8)",False,False,True,True,True,True,True,True,False,True,True,True,True,True,True
26,C#,C#,1,1,None,None,1,1,major triad,major triad,C#,C#,E#,C#,I,I,C#,C#,"(1, 5, 8)","(1, 5, 8)",False,False,True,True,True,True,True,True,False,True,True,True,True,True,True
27,C#,C#,1,1,None,None,1,1,major triad,major triad,C#,C#,E#,C#,I,I,C#,C#,"(1, 5, 8)","(1, 5, 8)",False,False,True,True,True,True,True,True,False,True,True,True,True,True,True
28,C#,C#,1,1,None,None,1,1,major triad,major triad,C#,C#,E#,E#,I,I,C#,C#,"(1, 5, 8)","(1, 5, 8)",False,False,True,True,True,True,True,True,True,True,True,True,True,True,True
29,C#,C#,1,1,None,None,1,1,major triad,major triad,C#,C#,E#,E#,I,I,C#,C#,"(1, 5, 8)","(1, 5, 8)",False,False,True,True,True,True,True,True,True,True,True,True,True,True,True
30,C#,C#,1,1,None,None,1,1,major triad,major triad,C#,C#,E#,E#,I,I,C#,C#,"(1, 5, 8)","(1, 5, 8)",False,False,True,True,True,True,True,True,True,True,True,True,True,True,True
31,C#,C#,1,1,None,None,1,1,major triad,major triad,C#,C#,E#,E#,I,I,C#,C#,"(1, 5, 8)","(1, 5, 8)",False,False,True,True,True,True,True,True,True,True,True,True,True,True,True
32,C#,C#,1,1,None,None,1,1,major triad,major triad,C#,C#,E#,E#,I,I,C#,C#,"(1, 5, 8)","(1, 5, 8)",False,False,True,True,True,True,True,True,True,True,True,True,True,True,True
33,C#,C#,1,1,None,None,1,1,major triad,major triad,C#,C#,E#,E#,I,I,C#,C#,"(1, 5, 8)","(1, 5, 8)",False,False,True,True,True,True,True,True,True,True,True,True,True,True,True
34,C#,C#,1,1,None,None,1,1,major triad,major triad,C#,C#,E#,E#,I,I,C#,C#,"(1, 5, 8)","(1, 5, 8)",False,False,True,True,True,True,True,True,True,True,True,True,True,True,True
35,C#,C#,1,1,None,None,1,1,major triad,major triad,C#,C#,E#,E#,I,I,C#,C#,"(1, 5, 8)","(1, 5, 8)",False,False,True,True,True,True,True,True,True,True,True,True,True,True,True
36,C#,C#,4,4,None,None,0,0,major triad,major triad,F#,F#,F#,F#,IV,IV,C#,C#,"(1, 6, 10)","(1, 6, 10)",True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
37,C#,C#,4,4,None,None,0,0,major triad,major triad,F#,F#,F#,F#,IV,IV,C#,C#,"(1, 6, 10)","(1, 6, 10)",False,False,True,True,True,True,True,True,True,True,True,True,True,True,True
38,C#,C#,4,4,None,None,0,0,major triad,major triad,F#,F#,F#,F#,IV,IV,C#,C#,"(1, 6, 10)","(1, 6, 10)",False,False,True,True,True,True,True,True,True,True,True,True,True,True,True
39,C#,C#,4,4,None,None,0,0,major triad,major triad,F#,F#,F#,F#,IV,IV,C#,C#,"(1, 6, 10)","(1, 6, 10)",False,False,True,True,True,True,True,True,True,True,True,True,True,True,True
40,C#,C#,4,4,None,None,0,0,major triad,major triad,F#,F#,F#,F#,IV,IV,C#,C#,"(1, 6, 10)","(1, 6, 10)",False,False,True,True,True,True,True,True,True,True,True,True,True,True,True
41,C#,C#,4,4,None,None,0,0,major triad,major triad,F#,F#,F#,F#,IV,IV,C#,C#,"(1, 6, 10)","(1, 6, 10)",False,False,True,True,True,True,True,True,True,True,True,True,True,True,True
42,C#,C#,4,4,None,None,0,0,major triad,major triad,F#,F#,F#,F#,IV,IV,C#,C#,"(1, 6, 10)","(1, 6, 10)",False,False,True,True,True,True,True,True,True,True,True,True,True,True,True
43,C#,C#,4,4,None,None,0,0,major triad,major triad,F#,F#,F#,F#,IV,IV,C#,C#,"(1, 6, 10)","(1, 6, 10)",False,False,True,True,True,True,True,True,True,True,True,True,True,True,True
44,C#,C#,4,1,None,None,0,0,major triad,major triad,F#,F#,F#,C#,IV,I,C#,C#,"(1, 6, 10)","(1, 5, 8)",False,False,True,False,True,True,True,True,False,False,True,False,True,False,False
45,C#,C#,4,1,None,None,0,0,major triad,major triad,F#,C#,F#,C#,IV,I,C#,C#,"(1, 6, 10)","(1, 5, 8)",False,False,True,False,True,True,True,False,False,False,True,False,True,False,False
46,C#,C#,4,1,None,None,0,0,major triad,major triad,F#,C#,F#,C#,IV,I,C#,C#,"(1, 6, 10)","(1, 5, 8)",False,False,True,False,True,True,True,False,False,False,True,False,True,False,False
47,C#,C#,4,1,None,None,0,0,major triad,major triad,F#,C#,F#,C#,IV,I,C#,C#,"(1, 6, 10)","(1, 5, 8)",False,False,True,False,True,True,True,False,False,False,True,False,True,False,False
48,C#,C#,1,1,None,None,1,0,major triad,major triad,C#,C#,E#,E#,I,I,C#,C#,"(1, 5, 8)","(1, 5, 8)",True,False,True,True,True,False,True,True,True,True,True,True,False,True,False
49,C#,C#,1,1,None,None,1,0,major triad,major triad,C#,C#,E#,E#,I,I,C#,C#,"(1, 5, 8)","(1, 5, 8)",False,False,True,True,True,False,True,True,True,True,True,True,True,True,False
50,C#,C#,1,1,None,None,1,1,major triad,major triad,C#,C#,E#,E#,I,I,C#,C#,"(1, 5, 8)","(1, 5, 8)",False,False,True,True,True,True,True,True,True,True,True,True,True,True,True
51,C#,C#,1,1,None,None,1,1,major triad,major triad,C#,C#,E#,E#,I,I,C#,C#,"(1, 5, 8)","(1, 5, 8)",False,False,True,True,True,True,True,True,True,True,True,True,True,True,True
52,C#,C#,1,1,None,None,1,1,major triad,major triad,C#,C#,E#,E#,I,I,C#,C#,"(1, 5, 8)","(1, 5, 8)",False,False,True,True,True,True,True,True,True,True,True,True,True,True,True
53,C#,C#,1,1,None,None,1,1,major triad,major triad,C#,C#,E#,E#,I,I,C#,C#,"(1, 5, 8)","(1, 5, 8)",False,False,True,True,True,True,True,True,True,True,True,True,True,True,True
54,C#,C#,1,1,None,None,1,1,major triad,major triad,C#,C#,E#,E#,I,I,C#,C#,"(1, 5, 8)","(1, 5, 8)",False,False,True,True,True,True,True,True,True,True,True,True,True,True,True
55,C#,C#,1,1,None,None,1,1,major triad,major triad,C#,C#,E#,E#,I,I,C#,C#,"(1, 5, 8)","(1, 5, 8)",False,False,True,True,True,True,True,True,True,True,True,True,True,True,True
56,C#,C#,1,1,None,None,1,1,major triad,major triad,C#,C#,E#,E#,I,I,C#,C#,"(1, 5, 8)","(1, 5, 8)",False,False,True,True,True,True,True,True,True,True,True,True,True,True,True
