,true_LocalKey35,pred_LocalKey35,true_PrimaryDegree22,pred_PrimaryDegree22,true_SecondaryDegree22,pred_SecondaryDegree22,true_Inversion4,pred_Inversion4,true_ChordQuality15,pred_ChordQuality15,true_ChordRoot35,pred_ChordRoot35,LocalKey35,PrimaryDegree22,SecondaryDegree22,Inversion4,ChordQuality15,ChordRoot35,Degree,RomanNumeral
0,c,C,1,1,None,None,0,0,minor triad,major triad,C,C,False,True,True,True,False,True,True,False
1,c,C,1,1,None,None,0,0,minor triad,major triad,C,C,False,True,True,True,False,True,True,False
2,c,C,1,1,None,None,0,0,minor triad,major triad,C,C,False,True,True,True,False,True,True,False
3,c,C,5,1,None,None,2,0,major triad,major triad,G,C,False,False,True,False,True,False,False,False
4,c,G,7,5,5,None,0,1,diminished seventh chord,dominant seventh chord,F#,F#,False,False,False,False,False,True,False,False
5,c,G,7,5,5,None,0,1,diminished seventh chord,dominant seventh chord,F#,F#,False,False,False,False,False,True,False,False
6,c,G,5,5,None,None,0,0,major triad,major triad,G,G,False,True,True,True,True,True,True,False
7,c,c,5,5,None,None,0,0,major triad,dominant seventh chord,G,G,True,True,True,True,False,True,True,False
8,c,c,#7,7,None,None,3,1,diminished seventh chord,diminished seventh chord,B,G,True,False,True,False,True,False,False,False
9,c,c,#7,7,None,None,3,1,diminished seventh chord,diminished seventh chord,B,G,True,False,True,False,True,False,False,False
10,c,c,#7,7,None,None,3,1,diminished seventh chord,diminished seventh chord,B,G,True,False,True,False,True,False,False,False
11,c,c,5,#7,None,None,0,1,major triad,diminished seventh chord,G,G,True,False,True,False,False,True,False,False
12,c,c,#7,#7,None,None,2,1,diminished seventh chord,diminished seventh chord,B,C,True,True,True,False,True,False,True,False
13,c,c,#7,7,None,None,2,1,diminished seventh chord,minor triad,B,C,True,False,True,False,False,False,False,False
14,c,c,1,7,None,None,1,1,minor triad,minor triad,C,C,True,False,True,True,True,True,False,False
15,c,c,1,7,None,None,1,1,minor triad,minor triad,C,C,True,False,True,True,True,True,False,False
16,c,c,7,7,5,None,3,1,diminished seventh chord,diminished seventh chord,F#,F#,True,True,False,False,True,True,False,False
17,c,c,7,7,5,None,3,1,diminished seventh chord,dominant seventh chord,F#,F#,True,True,False,False,False,True,False,False
18,c,c,7,5,5,None,3,1,diminished seventh chord,dominant seventh chord,F#,F#,True,False,False,False,False,True,False,False
19,c,G,5,5,5,None,0,1,major triad,dominant seventh chord,D,F#,False,True,False,False,False,False,False,False
20,c,G,7,5,5,None,2,1,diminished seventh chord,dominant seventh chord,F#,F#,False,False,False,False,False,True,False,False
21,c,G,7,5,5,None,2,1,diminished seventh chord,dominant seventh chord,F#,F#,False,False,False,False,False,True,False,False
22,c,G,5,5,None,None,1,1,major triad,dominant seventh chord,G,G,False,True,True,True,False,True,True,False
23,c,g,5,5,5,None,0,1,major triad,dominant seventh chord,D,D,False,True,False,False,False,True,False,False
24,c,c,7,5,5,None,2,1,diminished seventh chord,dominant seventh chord,F#,F#,True,False,False,False,False,True,False,False
25,c,c,7,5,5,None,2,1,diminished seventh chord,dominant seventh chord,F#,F#,True,False,False,False,False,True,False,False
26,E-,c,5,5,6,None,1,0,major triad,dominant seventh chord,G,G,False,True,False,False,False,True,False,False
27,E-,c,5,1,2,None,3,0,dominant seventh chord,minor triad,C,G,False,False,False,False,False,False,False,False
28,E-,c,2,1,None,None,1,0,minor triad,minor triad,F,G,False,False,True,False,True,False,False,False
29,E-,c,2,1,None,None,1,0,minor triad,minor triad,F,G,False,False,True,False,True,False,False,False
30,E-,E-,1,1,None,None,2,0,major triad,minor triad,E-,G,True,True,True,False,False,False,True,False
31,E-,E-,5,1,None,None,0,0,dominant seventh chord,major triad,B-,E-,True,False,True,True,False,False,False,False
32,E-,E-,1,1,None,None,0,0,major triad,major triad,E-,E-,True,True,True,True,True,True,True,True
33,E-,E-,1,1,None,None,0,0,major triad,major triad,E-,E-,True,True,True,True,True,True,True,True
34,E-,E-,1,1,None,None,0,0,major triad,major triad,E-,E-,True,True,True,True,True,True,True,True
35,E-,c,1,1,None,None,0,0,major triad,minor triad,E-,G,False,True,True,True,False,False,True,False
36,E-,c,2,1,None,None,3,1,minor seventh chord,minor triad,F,C,False,False,True,False,False,False,False,False
37,E-,c,2,5,None,None,3,1,minor seventh chord,minor triad,F,C,False,False,True,False,False,False,False,False
38,E-,c,#7,#7,6,None,1,1,diminished seventh chord,dominant seventh chord,B,G,False,True,False,True,False,False,False,False
39,E-,c,2,#7,None,None,2,1,minor triad,diminished seventh chord,F,G,False,False,True,False,False,False,False,False
40,E-,c,#7,7,6,None,0,1,diminished seventh chord,diminished seventh chord,B,G,False,False,False,False,True,False,False,False
41,E-,c,#7,7,6,None,0,1,diminished seventh chord,diminished seventh chord,B,G,False,False,False,False,True,False,False,False
42,c,c,5,#7,3,None,0,1,dominant seventh chord,dominant seventh chord,B-,G,True,False,False,False,True,False,False,False
43,c,c,5,#7,3,None,0,1,dominant seventh chord,diminished seventh chord,B-,G,True,False,False,False,False,False,False,False
44,c,c,#7,7,2,None,3,1,diminished seventh chord,diminished seventh chord,C#,G,True,False,False,False,True,False,False,False
45,c,c,#7,7,2,None,3,1,diminished seventh chord,diminished seventh chord,C#,G,True,False,False,False,True,False,False,False
