,true_LocalKey35,pred_LocalKey35,true_PrimaryDegree22,pred_PrimaryDegree22,true_SecondaryDegree22,pred_SecondaryDegree22,true_Inversion4,pred_Inversion4,true_ChordQuality15,pred_ChordQuality15,true_ChordRoot35,pred_ChordRoot35,LocalKey35,PrimaryDegree22,SecondaryDegree22,Inversion4,ChordQuality15,ChordRoot35,Degree,RomanNumeral
0,c,c,1,1,None,None,0,0,minor triad,minor triad,C,C,True,True,True,True,True,True,True,True
1,c,c,1,1,None,None,0,0,minor triad,minor triad,C,C,True,True,True,True,True,True,True,True
2,c,c,1,1,None,None,0,0,minor triad,minor triad,C,C,True,True,True,True,True,True,True,True
3,c,c,5,5,None,None,2,0,major triad,dominant seventh chord,G,C,True,True,True,False,False,False,True,False
4,c,c,7,7,5,5,0,0,diminished seventh chord,diminished seventh chord,F#,F#,True,True,True,True,True,True,True,True
5,c,c,7,7,5,5,0,0,diminished seventh chord,diminished seventh chord,F#,F#,True,True,True,True,True,True,True,True
6,c,c,5,5,None,None,0,0,major triad,dominant seventh chord,G,G,True,True,True,True,False,True,True,False
7,c,c,5,5,None,None,0,0,major triad,dominant seventh chord,G,G,True,True,True,True,False,True,True,False
8,c,c,#7,#7,None,None,3,0,diminished seventh chord,diminished seventh chord,B,B,True,True,True,False,True,True,True,False
9,c,c,#7,#7,None,None,3,1,diminished seventh chord,diminished seventh chord,B,B,True,True,True,False,True,True,True,False
10,c,c,#7,#7,None,None,3,2,diminished seventh chord,diminished seventh chord,B,B,True,True,True,False,True,True,True,False
11,c,c,5,#7,None,None,0,0,major triad,diminished seventh chord,G,B,True,False,True,True,False,False,False,False
12,c,c,#7,#7,None,None,2,2,diminished seventh chord,diminished seventh chord,B,B,True,True,True,True,True,True,True,True
13,c,c,#7,1,None,None,2,2,diminished seventh chord,diminished seventh chord,B,B,True,False,True,True,True,True,False,False
14,c,c,1,1,None,None,1,2,minor triad,minor triad,C,C,True,True,True,False,True,True,True,False
15,c,c,1,1,None,None,1,2,minor triad,minor triad,C,C,True,True,True,False,True,True,True,False
16,c,c,7,7,5,5,3,1,diminished seventh chord,diminished seventh chord,F#,F#,True,True,True,False,True,True,True,False
17,c,c,7,7,5,5,3,1,diminished seventh chord,diminished seventh chord,F#,F#,True,True,True,False,True,True,True,False
18,c,c,7,7,5,5,3,1,diminished seventh chord,diminished seventh chord,F#,F#,True,True,True,False,True,True,True,False
19,c,c,5,7,5,5,0,0,major triad,diminished seventh chord,D,F#,True,False,True,True,False,False,False,False
20,c,c,7,7,5,5,2,0,diminished seventh chord,diminished seventh chord,F#,F#,True,True,True,False,True,True,True,False
21,c,c,7,7,5,5,2,1,diminished seventh chord,diminished seventh chord,F#,F#,True,True,True,False,True,True,True,False
22,c,c,5,5,None,None,1,0,major triad,diminished seventh chord,G,D,True,True,True,False,False,False,True,False
23,c,c,5,5,5,None,0,1,major triad,diminished seventh chord,D,D,True,True,False,False,False,True,False,False
24,c,c,7,#7,5,None,2,0,diminished seventh chord,diminished seventh chord,F#,F#,True,False,False,False,True,True,False,False
25,c,c,7,#7,5,None,2,1,diminished seventh chord,diminished seventh chord,F#,F#,True,False,False,False,True,True,False,False
26,E-,c,5,5,6,None,1,1,major triad,dominant seventh chord,G,G,False,True,False,True,False,True,False,False
27,E-,c,5,5,2,None,3,1,dominant seventh chord,major triad,C,C,False,True,False,False,False,True,False,False
28,E-,c,2,2,None,None,1,1,minor triad,minor triad,F,F,False,True,True,True,True,True,True,False
29,E-,c,2,1,None,None,1,1,minor triad,minor triad,F,F,False,False,True,True,True,True,False,False
30,E-,E-,1,1,None,None,2,0,major triad,major triad,E-,B-,True,True,True,False,True,False,True,False
31,E-,E-,5,1,None,None,0,0,dominant seventh chord,major triad,B-,E-,True,False,True,True,False,False,False,False
32,E-,E-,1,1,None,None,0,0,major triad,major triad,E-,E-,True,True,True,True,True,True,True,True
33,E-,E-,1,1,None,None,0,0,major triad,major triad,E-,E-,True,True,True,True,True,True,True,True
34,E-,E-,1,1,None,None,0,0,major triad,major triad,E-,E-,True,True,True,True,True,True,True,True
35,E-,E-,1,1,None,None,0,0,major triad,major triad,E-,E-,True,True,True,True,True,True,True,True
36,E-,c,2,1,None,None,3,1,minor seventh chord,major triad,F,A-,False,False,True,False,False,False,False,False
37,E-,c,2,2,None,None,3,1,minor seventh chord,diminished seventh chord,F,D,False,True,True,False,False,False,True,False
38,E-,c,#7,#7,6,None,1,1,diminished seventh chord,diminished seventh chord,B,B,False,True,False,True,True,True,False,False
39,E-,c,2,7,None,None,2,1,minor triad,diminished seventh chord,F,B,False,False,True,False,False,False,False,False
40,E-,c,#7,#7,6,6,0,1,diminished seventh chord,diminished seventh chord,B,B,False,True,True,False,True,True,True,False
41,E-,c,#7,#7,6,6,0,0,diminished seventh chord,diminished seventh chord,B,B,False,True,True,True,True,True,True,False
42,c,E-,5,#7,3,None,0,1,dominant seventh chord,diminished seventh chord,B-,B,False,False,False,False,False,False,False,False
43,c,E-,5,7,3,None,0,1,dominant seventh chord,diminished seventh chord,B-,B-,False,False,False,False,False,True,False,False
