,true_LocalKey35,pred_LocalKey35,true_PrimaryDegree22,pred_PrimaryDegree22,true_SecondaryDegree22,pred_SecondaryDegree22,true_Inversion4,pred_Inversion4,true_ChordQuality15,pred_ChordQuality15,true_ChordRoot35,pred_ChordRoot35,true_Bass35,pred_Bass35,true_RomanNumeral76,pred_RomanNumeral76,true_TonicizedKey35,pred_TonicizedKey35,true_PitchClassSet94,pred_PitchClassSet94,true_HarmonicRhythm2,pred_HarmonicRhythm2,LocalKey35,PrimaryDegree22,SecondaryDegree22,Inversion4,ChordQuality15,ChordRoot35,Bass35,RomanNumeral76,TonicizedKey35,PitchClassSet94,HarmonicRhythm2,Degree,RomanNumeral,AltRomanNumeral
0,c,c,1,1,None,None,0,1,minor triad,major triad,C,C,C,C,i,I,c,c,"(0, 3, 7)","(0, 3, 8)",True,False,True,True,True,False,False,True,True,False,True,False,False,True,False,False
1,c,c,1,1,None,None,0,1,minor triad,major triad,C,C,C,C,i,I,c,c,"(0, 3, 7)","(0, 3, 8)",False,False,True,True,True,False,False,True,True,False,True,False,True,True,False,False
2,c,c,1,1,None,None,0,1,minor triad,major triad,C,C,C,C,i,I,c,c,"(0, 3, 7)","(0, 3, 8)",False,False,True,True,True,False,False,True,True,False,True,False,True,True,False,False
3,c,c,1,1,None,None,0,1,minor triad,major triad,C,C,C,C,i,I,c,c,"(0, 3, 7)","(0, 3, 8)",False,False,True,True,True,False,False,True,True,False,True,False,True,True,False,False
4,c,c,1,1,None,None,0,1,minor triad,major triad,C,C,C,G,i,I,c,c,"(0, 3, 7)","(0, 3, 8)",False,False,True,True,True,False,False,True,False,False,True,False,True,True,False,False
5,c,c,1,1,None,None,0,1,minor triad,major triad,C,C,C,G,i,I,c,c,"(0, 3, 7)","(0, 3, 7)",False,False,True,True,True,False,False,True,False,False,True,True,True,True,False,False
6,c,c,1,1,None,None,0,2,minor triad,major triad,C,C,C,G,i,I,c,c,"(0, 3, 7)","(0, 3, 7)",False,False,True,True,True,False,False,True,False,False,True,True,True,True,False,False
7,c,c,1,1,None,None,0,2,minor triad,major triad,C,C,C,G,i,I,c,c,"(0, 3, 7)","(0, 3, 7)",False,False,True,True,True,False,False,True,False,False,True,True,True,True,False,False
8,c,c,1,1,None,None,0,2,minor triad,major triad,C,C,C,G,i,I,c,c,"(0, 3, 7)","(0, 3, 7)",False,False,True,True,True,False,False,True,False,False,True,True,True,True,False,False
9,c,c,1,1,None,None,0,2,minor triad,major triad,C,C,C,G,i,I,c,c,"(0, 3, 7)","(0, 3, 7)",False,False,True,True,True,False,False,True,False,False,True,True,True,True,False,False
10,c,c,1,1,None,None,0,2,minor triad,major triad,C,C,C,G,i,I,c,c,"(0, 3, 7)","(0, 3, 7)",False,False,True,True,True,False,False,True,False,False,True,True,True,True,False,False
11,c,c,1,1,None,None,0,2,minor triad,major triad,C,C,C,G,i,I,c,c,"(0, 3, 7)","(0, 3, 7)",False,False,True,True,True,False,False,True,False,False,True,True,True,True,False,False
12,c,c,1,1,None,None,0,2,minor triad,major triad,C,C,C,G,i,I,c,c,"(0, 3, 7)","(0, 3, 7)",False,False,True,True,True,False,False,True,False,False,True,True,True,True,False,False
13,c,c,1,1,None,None,0,2,minor triad,major triad,C,C,C,G,i,I,c,c,"(0, 3, 7)","(0, 3, 7)",False,False,True,True,True,False,False,True,False,False,True,True,True,True,False,False
14,c,c,1,1,None,None,0,2,minor triad,major triad,C,C,C,G,i,I,c,c,"(0, 3, 7)","(0, 3, 7)",False,False,True,True,True,False,False,True,False,False,True,True,True,True,False,False
15,c,c,1,1,None,None,0,2,minor triad,major triad,C,C,C,G,i,I,c,c,"(0, 3, 7)","(0, 3, 7)",False,False,True,True,True,False,False,True,False,False,True,True,True,True,False,False
16,c,c,1,1,None,None,0,2,minor triad,major triad,C,C,C,G,i,I,c,c,"(0, 3, 7)","(0, 3, 7)",False,False,True,True,True,False,False,True,False,False,True,True,True,True,False,False
17,c,c,1,1,None,None,0,2,minor triad,major triad,C,C,C,G,i,I,c,c,"(0, 3, 7)","(0, 3, 7)",False,False,True,True,True,False,False,True,False,False,True,True,True,True,False,False
18,c,c,1,1,None,None,0,2,minor triad,major triad,C,C,C,G,i,I,c,c,"(0, 3, 7)","(0, 3, 7)",False,False,True,True,True,False,False,True,False,False,True,True,True,True,False,False
19,c,c,1,1,None,None,0,2,minor triad,major triad,C,C,C,G,i,I,c,c,"(0, 3, 7)","(0, 3, 7)",False,False,True,True,True,False,False,True,False,False,True,True,True,True,False,False
20,c,c,1,1,None,None,0,2,minor triad,major triad,C,C,C,G,i,I,c,c,"(0, 3, 7)","(0, 3, 7)",False,False,True,True,True,False,False,True,False,False,True,True,True,True,False,False
21,c,c,1,1,None,None,0,2,minor triad,major triad,C,C,C,G,i,I,c,c,"(0, 3, 7)","(0, 3, 7)",False,False,True,True,True,False,False,True,False,False,True,True,True,True,False,False
22,c,c,1,1,None,None,0,2,minor triad,major triad,C,C,C,G,i,i,c,c,"(0, 3, 7)","(0, 3, 7)",False,False,True,True,True,False,False,True,False,True,True,True,True,True,False,False
23,c,c,1,1,None,None,0,2,minor triad,major triad,C,C,C,G,i,i,c,c,"(0, 3, 7)","(0, 3, 7)",False,False,True,True,True,False,False,True,False,True,True,True,True,True,False,False
24,c,c,1,1,None,None,0,2,minor triad,major triad,C,C,C,G,i,i,c,c,"(0, 3, 7)","(0, 3, 7)",False,False,True,True,True,False,False,True,False,True,True,True,True,True,False,False
25,c,c,1,1,None,None,0,2,minor triad,major triad,C,C,C,G,i,i,c,c,"(0, 3, 7)","(0, 3, 7)",False,False,True,True,True,False,False,True,False,True,True,True,True,True,False,False
26,c,c,1,1,None,None,0,2,minor triad,major triad,C,C,C,G,i,i,c,c,"(0, 3, 7)","(0, 3, 7)",False,False,True,True,True,False,False,True,False,True,True,True,True,True,False,False
27,c,c,1,1,None,None,0,2,minor triad,major triad,C,C,C,G,i,i,c,c,"(0, 3, 7)","(0, 3, 7)",False,False,True,True,True,False,False,True,False,True,True,True,True,True,False,False
28,c,c,1,1,None,None,0,2,minor triad,major triad,C,C,C,G,i,i,c,c,"(0, 3, 7)","(0, 3, 7)",False,False,True,True,True,False,False,True,False,True,True,True,True,True,False,False
29,c,c,1,1,None,None,0,2,minor triad,major triad,C,C,C,G,i,i,c,c,"(0, 3, 7)","(0, 3, 7)",False,False,True,True,True,False,False,True,False,True,True,True,True,True,False,False
30,c,c,1,1,None,None,0,0,minor triad,minor triad,C,C,C,G,i,i,c,c,"(0, 3, 7)","(0, 3, 7)",False,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True
31,c,c,1,1,None,None,0,0,minor triad,minor triad,C,C,C,G,i,i,c,c,"(0, 3, 7)","(0, 3, 7)",False,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True
32,c,c,4,1,None,None,2,0,minor triad,minor triad,F,C,C,A-,iv,i,c,c,"(0, 5, 8)","(0, 5, 8)",True,False,True,False,True,False,True,False,False,False,True,True,False,False,False,False
33,c,c,4,1,None,None,2,0,minor triad,minor triad,F,C,C,A-,iv,i,c,c,"(0, 5, 8)","(0, 5, 8)",False,False,True,False,True,False,True,False,False,False,True,True,True,False,False,False
34,c,c,4,1,None,None,2,0,minor triad,minor triad,F,C,C,A-,iv,i,c,c,"(0, 5, 8)","(0, 5, 8)",False,False,True,False,True,False,True,False,False,False,True,True,True,False,False,False
35,c,c,4,1,None,None,2,0,minor triad,minor triad,F,C,C,A-,iv,i,c,c,"(0, 5, 8)","(0, 5, 8)",False,False,True,False,True,False,True,False,False,False,True,True,True,False,False,False
36,c,c,4,1,None,None,2,0,minor triad,minor triad,F,C,C,A-,iv,i,c,f,"(0, 5, 8)","(0, 5, 8)",False,False,True,False,True,False,True,False,False,False,False,True,True,False,False,False
37,c,c,4,1,None,None,2,0,minor triad,minor triad,F,C,C,A-,iv,i,c,f,"(0, 5, 8)","(0, 5, 8)",False,False,True,False,True,False,True,False,False,False,False,True,True,False,False,False
38,c,c,4,1,None,None,2,0,minor triad,minor triad,F,F,C,A-,iv,i,c,f,"(0, 5, 8)","(0, 5, 8)",False,False,True,False,True,False,True,True,False,False,False,True,True,False,False,False
39,c,c,4,1,None,None,2,0,minor triad,minor triad,F,F,C,F,iv,i,c,f,"(0, 5, 8)","(0, 5, 8)",False,False,True,False,True,False,True,True,False,False,False,True,True,False,False,False
40,c,c,4,1,None,None,2,0,minor triad,minor triad,F,F,C,F,iv,i,c,f,"(0, 5, 8)","(0, 5, 8)",False,False,True,False,True,False,True,True,False,False,False,True,True,False,False,False
41,c,c,4,1,None,None,2,0,minor triad,minor triad,F,F,C,F,iv,i,c,f,"(0, 5, 8)","(0, 5, 8)",False,False,True,False,True,False,True,True,False,False,False,True,True,False,False,False
42,c,c,4,1,None,None,2,0,minor triad,minor triad,F,F,C,F,iv,i,c,f,"(0, 5, 8)","(0, 5, 8)",False,False,True,False,True,False,True,True,False,False,False,True,True,False,False,False
43,c,c,4,1,None,None,2,0,minor triad,minor triad,F,F,C,F,iv,i,c,f,"(0, 5, 8)","(0, 5, 8)",False,False,True,False,True,False,True,True,False,False,False,True,True,False,False,False
44,c,c,4,1,None,None,2,0,minor triad,minor triad,F,F,C,F,iv,i,c,f,"(0, 5, 8)","(0, 5, 8)",False,False,True,False,True,False,True,True,False,False,False,True,True,False,False,False
45,c,c,4,1,None,None,2,0,minor triad,minor triad,F,F,C,F,iv,i,c,f,"(0, 5, 8)","(0, 5, 8)",False,False,True,False,True,False,True,True,False,False,False,True,True,False,False,False
46,c,c,4,4,None,None,2,0,minor triad,minor triad,F,F,C,F,iv,iv,c,f,"(0, 5, 8)","(0, 5, 8)",False,False,True,True,True,False,True,True,False,True,False,True,True,True,False,False
47,c,c,4,4,None,None,2,0,minor triad,minor triad,F,F,C,F,iv,iv,c,f,"(0, 5, 8)","(0, 5, 8)",False,False,True,True,True,False,True,True,False,True,False,True,True,True,False,False
48,c,c,4,4,None,None,2,0,minor triad,minor triad,F,F,C,F,iv,iv,c,f,"(0, 5, 8)","(0, 5, 8)",False,False,True,True,True,False,True,True,False,True,False,True,True,True,False,False
49,c,f,4,4,None,None,2,0,minor triad,minor triad,F,F,C,F,iv,iv,c,f,"(0, 5, 8)","(0, 5, 8)",False,False,False,True,True,False,True,True,False,True,False,True,True,True,False,False
50,c,c,4,4,None,None,2,0,minor triad,minor triad,F,F,C,F,iv,iv,c,f,"(0, 5, 8)","(0, 5, 8)",False,False,True,True,True,False,True,True,False,True,False,True,True,True,False,False
51,c,c,4,4,None,None,2,0,minor triad,minor triad,F,F,C,F,iv,iv,c,f,"(0, 5, 8)","(0, 5, 8)",False,False,True,True,True,False,True,True,False,True,False,True,True,True,False,False
52,c,c,4,4,None,None,2,0,minor triad,minor triad,F,F,C,F,iv,iv,c,f,"(0, 5, 8)","(0, 5, 8)",False,False,True,True,True,False,True,True,False,True,False,True,True,True,False,False
53,c,c,4,4,None,None,2,0,minor triad,minor triad,F,F,C,F,iv,iv,c,f,"(0, 5, 8)","(0, 5, 8)",False,False,True,True,True,False,True,True,False,True,False,True,True,True,False,False
54,c,c,4,4,None,None,2,0,minor triad,minor triad,F,F,C,F,iv,iv,c,f,"(0, 5, 8)","(0, 5, 8)",False,False,True,True,True,False,True,True,False,True,False,True,True,True,False,False
55,c,c,4,4,None,None,2,0,minor triad,minor triad,F,F,C,F,iv,iv,c,f,"(0, 5, 8)","(0, 5, 8)",False,False,True,True,True,False,True,True,False,True,False,True,True,True,False,False
56,c,c,4,4,None,None,2,0,minor triad,minor triad,F,F,C,F,iv,iv,c,c,"(0, 5, 8)","(0, 5, 8)",False,False,True,True,True,False,True,True,False,True,True,True,True,True,False,False
57,c,c,4,4,None,None,2,0,minor triad,minor triad,F,F,C,F,iv,iv,c,c,"(0, 5, 8)","(0, 5, 8)",False,False,True,True,True,False,True,True,False,True,True,True,True,True,False,False
58,c,c,4,4,None,None,2,0,minor triad,minor triad,F,F,C,F,iv,iv,c,c,"(0, 5, 8)","(0, 5, 8)",False,False,True,True,True,False,True,True,False,True,True,True,True,True,False,False
59,c,c,4,4,None,None,2,0,minor triad,minor triad,F,F,C,F,iv,iv,c,c,"(0, 5, 8)","(0, 5, 8)",False,False,True,True,True,False,True,True,False,True,True,True,True,True,False,False
60,c,c,4,4,None,None,2,0,minor triad,minor triad,F,F,C,F,iv,iv,c,c,"(0, 5, 8)","(0, 5, 8)",False,False,True,True,True,False,True,True,False,True,True,True,True,True,False,False
61,c,c,4,4,None,None,2,0,minor triad,minor triad,F,F,C,F,iv,iv,c,c,"(0, 5, 8)","(0, 5, 8)",False,False,True,True,True,False,True,True,False,True,True,True,True,True,False,False
62,c,c,4,4,None,None,2,0,minor triad,minor triad,F,F,C,F,iv,iv,c,c,"(0, 5, 8)","(0, 5, 8)",False,False,True,True,True,False,True,True,False,True,True,True,True,True,False,False
63,c,c,4,4,None,None,2,0,minor triad,minor triad,F,F,C,F,iv,iv,c,c,"(0, 5, 8)","(0, 5, 8)",False,False,True,True,True,False,True,True,False,True,True,True,True,True,False,False
64,c,c,#7,4,None,None,2,0,diminished seventh chord,minor triad,B,F,F,F,viio7,iv,c,c,"(2, 5, 8, 11)","(0, 5, 8)",True,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False
65,c,c,#7,4,None,None,2,0,diminished seventh chord,minor triad,B,F,F,F,viio7,iv,c,c,"(2, 5, 8, 11)","(0, 5, 8)",False,False,True,False,True,False,False,False,True,False,True,False,True,False,False,False
66,c,c,#7,4,None,None,2,0,diminished seventh chord,minor triad,B,F,F,F,viio7,iv,c,c,"(2, 5, 8, 11)","(0, 5, 8)",False,False,True,False,True,False,False,False,True,False,True,False,True,False,False,False
67,c,c,#7,4,None,None,2,0,diminished seventh chord,minor triad,B,F,F,F,viio7,iv,c,c,"(2, 5, 8, 11)","(0, 5, 8)",False,False,True,False,True,False,False,False,True,False,True,False,True,False,False,False
68,c,c,#7,4,None,None,2,0,diminished seventh chord,minor triad,B,F,F,F,viio7,iv,c,c,"(2, 5, 8, 11)","(0, 5, 8)",False,False,True,False,True,False,False,False,True,False,True,False,True,False,False,False
69,c,c,#7,4,None,None,2,0,diminished seventh chord,minor triad,B,F,F,F,viio7,iv,c,c,"(2, 5, 8, 11)","(0, 5, 8)",False,False,True,False,True,False,False,False,True,False,True,False,True,False,False,False
70,c,c,#7,4,None,None,2,2,diminished seventh chord,minor triad,B,F,F,F,viio7,iv,c,c,"(2, 5, 8, 11)","(0, 5, 8)",False,False,True,False,True,True,False,False,True,False,True,False,True,False,False,False
71,c,c,#7,4,None,None,2,2,diminished seventh chord,minor triad,B,F,F,F,viio7,iv,c,c,"(2, 5, 8, 11)","(0, 5, 8)",False,False,True,False,True,True,False,False,True,False,True,False,True,False,False,False
72,c,c,#7,7,None,None,2,1,diminished seventh chord,diminished seventh chord,B,F,F,F,viio7,viio7,c,c,"(2, 5, 8, 11)","(2, 5, 8, 11)",False,False,True,False,True,False,True,False,True,True,True,True,True,False,False,False
73,c,c,#7,7,None,None,2,1,diminished seventh chord,diminished seventh chord,B,F,F,F,viio7,viio7,c,c,"(2, 5, 8, 11)","(2, 5, 8, 11)",False,False,True,False,True,False,True,False,True,True,True,True,True,False,False,False
74,c,c,#7,7,None,None,2,1,diminished seventh chord,diminished seventh chord,B,F,F,F,viio7,viio7,c,c,"(2, 5, 8, 11)","(2, 5, 8, 11)",False,False,True,False,True,False,True,False,True,True,True,True,True,False,False,False
