,true_LocalKey35,pred_LocalKey35,true_PrimaryDegree22,pred_PrimaryDegree22,true_SecondaryDegree22,pred_SecondaryDegree22,true_Inversion4,pred_Inversion4,true_ChordQuality15,pred_ChordQuality15,true_ChordRoot35,pred_ChordRoot35,true_Bass35,pred_Bass35,true_RomanNumeral76,pred_RomanNumeral76,true_TonicizedKey35,pred_TonicizedKey35,true_PitchClassSet94,pred_PitchClassSet94,true_HarmonicRhythm2,pred_HarmonicRhythm2,LocalKey35,PrimaryDegree22,SecondaryDegree22,Inversion4,ChordQuality15,ChordRoot35,Bass35,RomanNumeral76,TonicizedKey35,PitchClassSet94,HarmonicRhythm2,Degree,RomanNumeral,AltRomanNumeral
0,c#,c#,1,1,None,None,0,0,minor triad,minor triad,C#,C#,C#,C#,i,i,c#,c#,"(1, 4, 8)","(1, 4, 8)",True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1,c#,c#,1,1,None,None,0,0,minor triad,minor triad,C#,C#,C#,C#,i,i,c#,c#,"(1, 4, 8)","(1, 4, 8)",False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
2,c#,c#,1,1,None,None,0,0,minor triad,minor triad,C#,C#,C#,C#,i,i,c#,c#,"(1, 4, 8)","(1, 4, 8)",False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
3,c#,c#,1,1,None,None,0,0,minor triad,minor triad,C#,C#,C#,C#,i,i,c#,c#,"(1, 4, 8)","(1, 4, 8)",False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
4,c#,c#,1,1,None,None,0,0,minor triad,minor triad,C#,C#,C#,C#,i,i,c#,c#,"(1, 4, 8)","(1, 4, 8)",False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
5,c#,c#,1,1,None,None,0,0,minor triad,minor triad,C#,C#,C#,C#,i,i,c#,c#,"(1, 4, 8)","(1, 4, 8)",False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
6,c#,c#,1,1,None,None,0,0,minor triad,minor triad,C#,C#,C#,C#,i,i,c#,c#,"(1, 4, 8)","(1, 4, 8)",False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7,c#,c#,1,1,None,None,0,0,minor triad,minor triad,C#,C#,C#,C#,i,i,c#,c#,"(1, 4, 8)","(1, 4, 8)",False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
8,c#,c#,1,1,None,None,0,0,minor triad,minor triad,C#,C#,C#,C#,i,i,c#,c#,"(1, 4, 8)","(1, 4, 8)",False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
9,c#,c#,1,1,None,None,0,0,minor triad,minor triad,C#,C#,C#,C#,i,i,c#,c#,"(1, 4, 8)","(1, 4, 8)",False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
10,c#,c#,1,1,None,None,0,0,minor triad,minor triad,C#,C#,C#,C#,i,i,c#,c#,"(1, 4, 8)","(1, 4, 8)",False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
11,c#,c#,1,1,None,None,0,0,minor triad,minor triad,C#,C#,C#,C#,i,i,c#,c#,"(1, 4, 8)","(1, 4, 8)",False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
